c_ext,c_int,c_thd,m_ext,m_int,m_thd,d_ext,d_int,d_thd,mm_ext,mm_int,mm_thd,md_ext,md_int,md_thd,dm_ext,dm_int,dm_thd,dd_ext,dd_int,dd_thd
1,0.21365108264354263,0.32895398727281117,0.18796299039196193,0.14407523168109837,0.15150375300097668,0.258169796008716,0.1166130305734003,-0.03427378949009087,0.1526110358448425,0.057574372086315405,-0.011481231503091164,0.2123495527953635,0.04110913195234204,-0.054463867750323615,0.23922194391804735,0.09504206602273303,0.03682959989813288,0.17723567898122072,-0.04729702147577298,-0.11362067830692686
0.21365108264354263,1,0.5725929323265233,0.2501187481969655,0.3169749128109985,0.15838513581819713,0.22962199596985916,0.17071795436058837,-0.006826128606593771,0.03611971684999807,0.04921859442575027,-0.05302884007697287,0.1743628927627324,0.02329946466523798,-0.027205295987325608,0.10338968189793242,0.05814423209411257,-0.019899937220726624,0.20929235899903847,0.0838997468062564,0.0776580663030053
0.32895398727281117,0.5725929323265233,1,0.25801735768706413,0.16556622856910513,0.12462093754276214,0.11504790845223091,0.23810985489634545,0.04604780118039422,0.06776207049476822,0.07459310590582614,-0.06916990976184761,0.10691813767661386,-0.03233800790221769,-0.0013392409153042178,0.06180124480030728,-0.027415392978799802,-0.007945382820037497,0.1278106406319612,-0.05744109928395862,-0.06746859066114382
0.18796299039196193,0.2501187481969655,0.25801735768706413,1,0.5132403332802067,0.6144579677055941,0.4401513810634756,0.18678287875439456,0.17450813645727103,0.392747854753265,0.12230578978110349,0.1368777731965147,0.3362187723729831,0.04665812536289764,0.206169015841316,0.31274009751256293,-0.07620752628300204,0.037186614198966565,0.23028551008244824,-0.1151434014823296,-0.08090345817343152
0.14407523168109837,0.3169749128109985,0.16556622856910513,0.5132403332802067,1,0.5586806101497435,0.2830629793295319,0.2779629537755898,0.219899301442141,0.15965314778538026,0.24166409487638355,0.11262753816693323,0.1526337186681099,0.10725437603213463,0.12123163646110295,0.08969752405297045,0.034485782053160476,0.059971869627372214,0.19625477055480184,0.05056151112549549,-0.022239488449398805
0.15150375300097668,0.15838513581819713,0.12462093754276214,0.6144579677055941,0.5586806101497435,1,0.2828155427315445,0.13998337845206463,0.25991034133794044,0.19697043497347316,0.19069752991029099,0.17265650845442493,0.27578641628752476,0.07097034225816946,0.2018970626389149,0.19369974542056528,-0.09219525678164414,-0.012460305887976076,0.23081217720179134,-0.20645540669431034,-0.21015770284655272
0.258169796008716,0.22962199596985916,0.11504790845223091,0.4401513810634756,0.2830629793295319,0.2828155427315445,1,0.413823039870109,0.49283969641294983,0.15910968391640662,0.052554741135764756,0.07145699241054317,0.28241126181617643,0.09856346565377411,0.03200506678118267,0.2718827064969916,0.10523731694616974,0.13860525077309815,0.34771229107465873,0.08515507974231247,-0.05363372280680974
0.1166130305734003,0.17071795436058837,0.23810985489634545,0.18678287875439456,0.2779629537755898,0.13998337845206463,0.413823039870109,1,0.6408989817907493,0.07163958798022789,0.07745015748481203,-0.08521357917651821,0.0631501906991808,0.04690426747251152,0.07541999674641998,0.16620360712820528,0.10917498982173919,0.13904990145822776,0.1567273637252624,0.14476796582309526,-0.06766015404406828
-0.03427378949009087,-0.006826128606593771,0.04604780118039422,0.17450813645727103,0.219899301442141,0.25991034133794044,0.49283969641294983,0.6408989817907493,1,0.02710790646674347,0.0775569030469155,-0.15061891715104364,0.07658757273179638,-0.014547549283888638,0.15926709405077943,0.03887801205303633,0.14477750978321927,0.06884773012133948,0.13134169959352376,0.0585898314378466,0.08829957154924349
0.1526110358448425,0.03611971684999807,0.06776207049476822,0.392747854753265,0.15965314778538026,0.19697043497347316,0.15910968391640662,0.07163958798022789,0.02710790646674347,1,0.4444983691801308,0.3133485119463856,0.4814389555888488,0.09844384907475794,0.16859844191935142,0.19957495192945418,0.16180174697596464,0.22908931149906883,0.029544718516332186,0.057370906728890426,-0.09861538516629664
0.057574372086315405,0.04921859442575027,0.07459310590582614,0.12230578978110349,0.24166409487638355,0.19069752991029099,0.052554741135764756,0.07745015748481203,0.0775569030469155,0.4444983691801308,1,0.5094830190874895,0.2147664904705733,0.32099076512031616,0.1786716217654887,0.16458168383939842,0.24004696125382627,0.09623578707092989,0.0861282224363163,0.16921013711087607,0.2508238810829792
-0.011481231503091164,-0.05302884007697287,-0.06916990976184761,0.1368777731965147,0.11262753816693323,0.17265650845442493,0.07145699241054317,-0.08521357917651821,-0.15061891715104364,0.3133485119463856,0.5094830190874895,1,0.06572207453189478,0.07988580010283226,0.1488465513767953,-0.044025315091125915,0.10741106085698462,0.04104357655773148,-0.042888433043248485,-0.16539292913895906,-0.11121340921355825
0.2123495527953635,0.1743628927627324,0.10691813767661386,0.3362187723729831,0.1526337186681099,0.27578641628752476,0.28241126181617643,0.0631501906991808,0.07658757273179638,0.4814389555888488,0.2147664904705733,0.06572207453189478,1,0.2015392165547713,0.2092994096844716,0.05052711217306399,0.039880765367269234,0.0016688717443543576,0.1531344526756474,-0.019622936367480925,-0.04457214112075476
0.04110913195234204,0.02329946466523798,-0.03233800790221769,0.04665812536289764,0.10725437603213463,0.07097034225816946,0.09856346565377411,0.04690426747251152,-0.014547549283888638,0.09844384907475794,0.32099076512031616,0.07988580010283226,0.2015392165547713,1,0.58010684425256,0.048343862553713667,0.19767066463761482,0.14563615379031747,0.048236333216791376,0.16618286660406736,0.12978110604568066
-0.054463867750323615,-0.027205295987325608,-0.0013392409153042178,0.206169015841316,0.12123163646110295,0.2018970626389149,0.03200506678118267,0.07541999674641998,0.15926709405077943,0.16859844191935142,0.1786716217654887,0.1488465513767953,0.2092994096844716,0.58010684425256,1,0.15124107687865757,0.10022852626095781,-0.057296220991028275,-0.09637514117703463,0.225167325483956,0.17799694370517097
0.23922194391804735,0.10338968189793242,0.06180124480030728,0.31274009751256293,0.08969752405297045,0.19369974542056528,0.2718827064969916,0.16620360712820528,0.03887801205303633,0.19957495192945418,0.16458168383939842,-0.044025315091125915,0.05052711217306399,0.048343862553713667,0.15124107687865757,1,0.2776383141631826,0.2645552422582479,0.22448652304206432,0.09532718826786521,0.21838641409035514
0.09504206602273303,0.05814423209411257,-0.027415392978799802,-0.07620752628300204,0.034485782053160476,-0.09219525678164414,0.10523731694616974,0.10917498982173919,0.14477750978321927,0.16180174697596464,0.24004696125382627,0.10741106085698462,0.039880765367269234,0.19767066463761482,0.10022852626095781,0.2776383141631826,1,0.5520004431352115,0.010869995461162301,0.3094256274979482,0.33114747365524205
0.03682959989813288,-0.019899937220726624,-0.007945382820037497,0.037186614198966565,0.059971869627372214,-0.012460305887976076,0.13860525077309815,0.13904990145822776,0.06884773012133948,0.22908931149906883,0.09623578707092989,0.04104357655773148,0.0016688717443543576,0.14563615379031747,-0.057296220991028275,0.2645552422582479,0.5520004431352115,1,0.10198161187813756,0.16590225999091007,0.1347462568378041
0.17723567898122072,0.20929235899903847,0.1278106406319612,0.23028551008244824,0.19625477055480184,0.23081217720179134,0.34771229107465873,0.1567273637252624,0.13134169959352376,0.029544718516332186,0.0861282224363163,-0.042888433043248485,0.1531344526756474,0.048236333216791376,-0.09637514117703463,0.22448652304206432,0.010869995461162301,0.10198161187813756,1,0.06581224926554106,0.11754380598025319
-0.04729702147577298,0.0838997468062564,-0.05744109928395862,-0.1151434014823296,0.05056151112549549,-0.20645540669431034,0.08515507974231247,0.14476796582309526,0.0585898314378466,0.057370906728890426,0.16921013711087607,-0.16539292913895906,-0.019622936367480925,0.16618286660406736,0.225167325483956,0.09532718826786521,0.3094256274979482,0.16590225999091007,0.06581224926554106,1,0.4252075972934204
-0.11362067830692686,0.0776580663030053,-0.06746859066114382,-0.08090345817343152,-0.022239488449398805,-0.21015770284655272,-0.05363372280680974,-0.06766015404406828,0.08829957154924349,-0.09861538516629664,0.2508238810829792,-0.11121340921355825,-0.04457214112075476,0.12978110604568066,0.17799694370517097,0.21838641409035514,0.33114747365524205,0.1347462568378041,0.11754380598025319,0.4252075972934204,1
