Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_str * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_str * any_som,Difference,-0.0016,0.0001,-0.0019,-0.0014,1
Table e_any_str * any_psy,Row 1,0.0011,0.0000,0.0010,0.0012,
Table e_any_str * any_psy,Row 2,0.0027,0.0001,0.0025,0.0029,
Table e_any_str * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_str * any_psy,Difference,-0.0016,0.0001,-0.0018,-0.0014,1
Table e_any_str * any_oth,Row 1,0.0301,0.0003,0.0296,0.0306,
Table e_any_str * any_oth,Row 2,0.0533,0.0004,0.0526,0.0541,
Table e_any_str * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_str * any_oth,Difference,-0.0232,0.0005,-0.0241,-0.0223,1
Table e_any_str * any_slp,Row 1,0.0424,0.0003,0.0418,0.0430,
Table e_any_str * any_slp,Row 2,0.0706,0.0005,0.0698,0.0715,
Table e_any_str * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_str * any_slp,Difference,-0.0282,0.0005,-0.0293,-0.0271,1
Table e_any_str * any_sex,Row 1,0.0010,0.0000,0.0009,0.0011,
Table e_any_str * any_sex,Row 2,0.0017,0.0001,0.0016,0.0018,
Table e_any_str * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_str * any_sex,Difference,-0.0007,0.0001,-0.0008,-0.0005,1
Table e_any_str * any_per,Row 1,0.0009,0.0000,0.0009,0.0010,
Table e_any_str * any_per,Row 2,0.0020,0.0001,0.0019,0.0022,
Table e_any_str * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_str * any_per,Difference,-0.0011,0.0001,-0.0013,-0.0009,1
Table e_any_str * any_sui,Row 1,0.0017,0.0001,0.0016,0.0019,
Table e_any_str * any_sui,Row 2,0.0056,0.0001,0.0053,0.0058,
Table e_any_str * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_str * any_sui,Difference,-0.0038,0.0001,-0.0041,-0.0036,1
Table e_any_str * any_con,Row 1,0.0384,0.0003,0.0379,0.0390,
Table e_any_str * any_con,Row 2,0.0476,0.0004,0.0469,0.0484,
Table e_any_str * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_str * any_con,Difference,-0.0092,0.0005,-0.0101,-0.0083,1
Table e_any_str * any_dev,Row 1,0.0203,0.0002,0.0199,0.0208,
Table e_any_str * any_dev,Row 2,0.0286,0.0003,0.0280,0.0291,
Table e_any_str * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_str * any_dev,Difference,-0.0082,0.0004,-0.0089,-0.0075,1
Table e_any_str * any_stm,Row 1,0.0108,0.0002,0.0105,0.0111,
Table e_any_str * any_stm,Row 2,0.0143,0.0002,0.0139,0.0148,
Table e_any_str * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_str * any_stm,Difference,-0.0035,0.0003,-0.0040,-0.0030,1
Table e_any_anx * any_adhd,Row 1,0.0338,0.0002,0.0333,0.0343,
Table e_any_anx * any_adhd,Row 2,0.0632,0.0006,0.0621,0.0644,
Table e_any_anx * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_anx * any_adhd,Difference,-0.0294,0.0006,-0.0307,-0.0282,1
Table e_any_anx * any_sub,Row 1,0.0055,0.0001,0.0053,0.0056,
Table e_any_anx * any_sub,Row 2,0.0097,0.0002,0.0093,0.0102,
Table e_any_anx * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_anx * any_sub,Difference,-0.0043,0.0002,-0.0048,-0.0038,1
Table e_any_anx * any_chad,Row 1,0.0556,0.0003,0.0550,0.0561,
Table e_any_anx * any_chad,Row 2,0.0939,0.0007,0.0925,0.0953,
Table e_any_anx * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_anx * any_chad,Difference,-0.0384,0.0008,-0.0398,-0.0369,1
Table e_any_anx * any_dep,Row 1,0.0362,0.0002,0.0357,0.0367,
Table e_any_anx * any_dep,Row 2,0.0601,0.0006,0.0590,0.0612,
Table e_any_anx * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_anx * any_dep,Difference,-0.0239,0.0006,-0.0251,-0.0227,1
Table e_any_anx * any_str,Row 1,0.0144,0.0002,0.0141,0.0147,
Table e_any_anx * any_str,Row 2,0.0272,0.0004,0.0264,0.0280,
Table e_any_anx * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_anx * any_str,Difference,-0.0128,0.0004,-0.0136,-0.0120,1
Table e_any_anx * any_anx,Row 1,0.0243,0.0002,0.0239,0.0246,
Table e_any_anx * any_anx,Row 2,0.0506,0.0005,0.0496,0.0516,
Table e_any_anx * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_anx * any_anx,Difference,-0.0263,0.0006,-0.0274,-0.0252,1
Table e_any_anx * any_phb,Row 1,0.0082,0.0001,0.0080,0.0085,
Table e_any_anx * any_phb,Row 2,0.0147,0.0003,0.0141,0.0152,
Table e_any_anx * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_anx * any_phb,Difference,-0.0064,0.0003,-0.0070,-0.0058,1
Table e_any_anx * any_ptsd,Row 1,0.0019,0.0001,0.0018,0.0020,
Table e_any_anx * any_ptsd,Row 2,0.0043,0.0002,0.0040,0.0046,
Table e_any_anx * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_anx * any_ptsd,Difference,-0.0023,0.0002,-0.0027,-0.0020,1
Table e_any_anx * any_som,Row 1,0.0028,0.0001,0.0027,0.0030,
Table e_any_anx * any_som,Row 2,0.0047,0.0002,0.0044,0.0050,
Table e_any_anx * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_anx * any_som,Difference,-0.0018,0.0002,-0.0022,-0.0015,1
Table e_any_anx * any_psy,Row 1,0.0014,0.0000,0.0013,0.0015,
Table e_any_anx * any_psy,Row 2,0.0029,0.0001,0.0026,0.0031,
Table e_any_anx * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_anx * any_psy,Difference,-0.0014,0.0001,-0.0017,-0.0012,1
Table e_any_anx * any_oth,Row 1,0.0345,0.0002,0.0340,0.0349,
Table e_any_anx * any_oth,Row 2,0.0584,0.0006,0.0573,0.0596,
Table e_any_anx * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_anx * any_oth,Difference,-0.0240,0.0006,-0.0252,-0.0228,1
Table e_any_anx * any_slp,Row 1,0.0472,0.0003,0.0466,0.0477,
Table e_any_anx * any_slp,Row 2,0.0787,0.0006,0.0774,0.0799,
Table e_any_anx * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_anx * any_slp,Difference,-0.0315,0.0007,-0.0329,-0.0301,1
Table e_any_anx * any_sex,Row 1,0.0012,0.0000,0.0011,0.0013,
Table e_any_anx * any_sex,Row 2,0.0018,0.0001,0.0016,0.0020,
Table e_any_anx * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_anx * any_sex,Difference,-0.0006,0.0001,-0.0008,-0.0004,1
Table e_any_anx * any_per,Row 1,0.0011,0.0000,0.0011,0.0012,
Table e_any_anx * any_per,Row 2,0.0023,0.0001,0.0021,0.0025,
Table e_any_anx * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_anx * any_per,Difference,-0.0011,0.0001,-0.0014,-0.0009,1
Table e_any_anx * any_sui,Row 1,0.0028,0.0001,0.0026,0.0029,
Table e_any_anx * any_sui,Row 2,0.0053,0.0002,0.0050,0.0057,
Table e_any_anx * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_anx * any_sui,Difference,-0.0026,0.0002,-0.0029,-0.0022,1
Table e_any_anx * any_con,Row 1,0.0406,0.0003,0.0401,0.0411,
Table e_any_anx * any_con,Row 2,0.0480,0.0005,0.0470,0.0490,
Table e_any_anx * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_anx * any_con,Difference,-0.0073,0.0006,-0.0085,-0.0062,1
Table e_any_anx * any_dev,Row 1,0.0221,0.0002,0.0217,0.0225,
Table e_any_anx * any_dev,Row 2,0.0297,0.0004,0.0289,0.0305,
Table e_any_anx * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_anx * any_dev,Difference,-0.0076,0.0004,-0.0085,-0.0067,1
Table e_any_anx * any_stm,Row 1,0.0111,0.0001,0.0109,0.0114,
Table e_any_anx * any_stm,Row 2,0.0164,0.0003,0.0158,0.0170,
Table e_any_anx * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_anx * any_stm,Difference,-0.0052,0.0003,-0.0059,-0.0046,1
Table e_any_phb * any_adhd,Row 1,0.0388,0.0002,0.0383,0.0393,
Table e_any_phb * any_adhd,Row 2,0.0720,0.0013,0.0695,0.0746,
Table e_any_phb * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_phb * any_adhd,Difference,-0.0332,0.0013,-0.0358,-0.0306,1
Table e_any_phb * any_sub,Row 1,0.0063,0.0001,0.0061,0.0064,
Table e_any_phb * any_sub,Row 2,0.0096,0.0005,0.0087,0.0106,
Table e_any_phb * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_phb * any_sub,Difference,-0.0034,0.0005,-0.0043,-0.0024,1
Table e_any_phb * any_chad,Row 1,0.0621,0.0003,0.0616,0.0627,
Table e_any_phb * any_chad,Row 2,0.1045,0.0015,0.1015,0.1075,
Table e_any_phb * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_phb * any_chad,Difference,-0.0424,0.0015,-0.0454,-0.0394,1
Table e_any_phb * any_dep,Row 1,0.0405,0.0002,0.0400,0.0409,
Table e_any_phb * any_dep,Row 2,0.0629,0.0012,0.0605,0.0652,
Table e_any_phb * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_phb * any_dep,Difference,-0.0224,0.0012,-0.0248,-0.0200,1
Table e_any_phb * any_str,Row 1,0.0168,0.0002,0.0165,0.0171,
Table e_any_phb * any_str,Row 2,0.0266,0.0008,0.0250,0.0282,
Table e_any_phb * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_phb * any_str,Difference,-0.0098,0.0008,-0.0114,-0.0082,1
Table e_any_phb * any_anx,Row 1,0.0291,0.0002,0.0287,0.0295,
Table e_any_phb * any_anx,Row 2,0.0515,0.0011,0.0494,0.0536,
Table e_any_phb * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_phb * any_anx,Difference,-0.0224,0.0011,-0.0246,-0.0202,1
Table e_any_phb * any_phb,Row 1,0.0093,0.0001,0.0090,0.0095,
Table e_any_phb * any_phb,Row 2,0.0177,0.0006,0.0165,0.0190,
Table e_any_phb * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_phb * any_phb,Difference,-0.0085,0.0007,-0.0097,-0.0072,1
Table e_any_phb * any_ptsd,Row 1,0.0024,0.0001,0.0023,0.0025,
Table e_any_phb * any_ptsd,Row 2,0.0044,0.0003,0.0038,0.0051,
Table e_any_phb * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_phb * any_ptsd,Difference,-0.0021,0.0003,-0.0027,-0.0014,1
Table e_any_phb * any_som,Row 1,0.0032,0.0001,0.0030,0.0033,
Table e_any_phb * any_som,Row 2,0.0051,0.0003,0.0044,0.0058,
Table e_any_phb * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_phb * any_som,Difference,-0.0019,0.0003,-0.0026,-0.0012,1
Table e_any_phb * any_psy,Row 1,0.0017,0.0000,0.0016,0.0018,
Table e_any_phb * any_psy,Row 2,0.0029,0.0003,0.0024,0.0034,
Table e_any_phb * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_phb * any_psy,Difference,-0.0012,0.0003,-0.0017,-0.0007,1
Table e_any_phb * any_oth,Row 1,0.0387,0.0002,0.0383,0.0392,
Table e_any_phb * any_oth,Row 2,0.0618,0.0012,0.0594,0.0641,
Table e_any_phb * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_phb * any_oth,Difference,-0.0230,0.0012,-0.0254,-0.0206,1
Table e_any_phb * any_slp,Row 1,0.0527,0.0003,0.0522,0.0532,
Table e_any_phb * any_slp,Row 2,0.0840,0.0014,0.0812,0.0867,
Table e_any_phb * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_phb * any_slp,Difference,-0.0312,0.0014,-0.0340,-0.0285,1
Table e_any_phb * any_sex,Row 1,0.0013,0.0000,0.0012,0.0014,
Table e_any_phb * any_sex,Row 2,0.0021,0.0002,0.0017,0.0025,
Table e_any_phb * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_phb * any_sex,Difference,-0.0008,0.0002,-0.0012,-0.0004,1
Table e_any_phb * any_per,Row 1,0.0013,0.0000,0.0013,0.0014,
Table e_any_phb * any_per,Row 2,0.0026,0.0002,0.0021,0.0030,
Table e_any_phb * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_phb * any_per,Difference,-0.0012,0.0002,-0.0017,-0.0007,1
Table e_any_phb * any_sui,Row 1,0.0032,0.0001,0.0031,0.0034,
Table e_any_phb * any_sui,Row 2,0.0058,0.0004,0.0051,0.0065,
Table e_any_phb * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_phb * any_sui,Difference,-0.0026,0.0004,-0.0033,-0.0018,1
Table e_any_phb * any_con,Row 1,0.0419,0.0002,0.0414,0.0423,
Table e_any_phb * any_con,Row 2,0.0505,0.0011,0.0484,0.0526,
Table e_any_phb * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_phb * any_con,Difference,-0.0086,0.0011,-0.0108,-0.0065,1
Table e_any_phb * any_dev,Row 1,0.0234,0.0002,0.0230,0.0237,
Table e_any_phb * any_dev,Row 2,0.0321,0.0009,0.0303,0.0338,
Table e_any_phb * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_phb * any_dev,Difference,-0.0087,0.0009,-0.0104,-0.0069,1
Table e_any_phb * any_stm,Row 1,0.0120,0.0001,0.0118,0.0123,
Table e_any_phb * any_stm,Row 2,0.0179,0.0007,0.0166,0.0192,
Table e_any_phb * any_stm,Total,0.0123,0.0001,0.0121,0.0126,
Table e_any_phb * any_stm,Difference,-0.0059,0.0007,-0.0072,-0.0046,1
Table e_any_ptsd * any_adhd,Row 1,0.0389,0.0002,0.0385,0.0394,
Table e_any_ptsd * any_adhd,Row 2,0.0756,0.0015,0.0727,0.0785,
Table e_any_ptsd * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_ptsd * any_adhd,Difference,-0.0367,0.0015,-0.0396,-0.0338,1
Table e_any_ptsd * any_sub,Row 1,0.0061,0.0001,0.0060,0.0063,
Table e_any_ptsd * any_sub,Row 2,0.0132,0.0006,0.0120,0.0144,
Table e_any_ptsd * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_ptsd * any_sub,Difference,-0.0071,0.0006,-0.0083,-0.0059,1
Table e_any_ptsd * any_chad,Row 1,0.0618,0.0003,0.0613,0.0624,
Table e_any_ptsd * any_chad,Row 2,0.1186,0.0018,0.1151,0.1221,
Table e_any_ptsd * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_ptsd * any_chad,Difference,-0.0568,0.0018,-0.0603,-0.0532,1
Table e_any_ptsd * any_dep,Row 1,0.0401,0.0002,0.0397,0.0406,
Table e_any_ptsd * any_dep,Row 2,0.0756,0.0014,0.0727,0.0784,
Table e_any_ptsd * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_ptsd * any_dep,Difference,-0.0355,0.0015,-0.0383,-0.0326,1
Table e_any_ptsd * any_str,Row 1,0.0161,0.0001,0.0158,0.0164,
Table e_any_ptsd * any_str,Row 2,0.0430,0.0011,0.0408,0.0453,
Table e_any_ptsd * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_ptsd * any_str,Difference,-0.0269,0.0011,-0.0291,-0.0246,1
Table e_any_ptsd * any_anx,Row 1,0.0293,0.0002,0.0289,0.0297,
Table e_any_ptsd * any_anx,Row 2,0.0517,0.0012,0.0494,0.0541,
Table e_any_ptsd * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_ptsd * any_anx,Difference,-0.0224,0.0012,-0.0248,-0.0201,1
Table e_any_ptsd * any_phb,Row 1,0.0095,0.0001,0.0093,0.0097,
Table e_any_ptsd * any_phb,Row 2,0.0142,0.0006,0.0130,0.0155,
Table e_any_ptsd * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_ptsd * any_phb,Difference,-0.0047,0.0006,-0.0060,-0.0035,1
Table e_any_ptsd * any_ptsd,Row 1,0.0020,0.0001,0.0019,0.0021,
Table e_any_ptsd * any_ptsd,Row 2,0.0134,0.0006,0.0122,0.0146,
Table e_any_ptsd * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_ptsd * any_ptsd,Difference,-0.0114,0.0006,-0.0127,-0.0102,1
Table e_any_ptsd * any_som,Row 1,0.0031,0.0001,0.0030,0.0033,
Table e_any_ptsd * any_som,Row 2,0.0063,0.0004,0.0055,0.0071,
Table e_any_ptsd * any_som,Total,0.0033,0.0001,0.0031,0.0034,
Table e_any_ptsd * any_som,Difference,-0.0032,0.0004,-0.0040,-0.0023,1
Table e_any_ptsd * any_psy,Row 1,0.0017,0.0000,0.0016,0.0018,
Table e_any_ptsd * any_psy,Row 2,0.0041,0.0003,0.0035,0.0048,
Table e_any_ptsd * any_psy,Total,0.0018,0.0000,0.0017,0.0019,
Table e_any_ptsd * any_psy,Difference,-0.0025,0.0003,-0.0031,-0.0018,1
Table e_any_ptsd * any_oth,Row 1,0.0383,0.0002,0.0378,0.0387,
Table e_any_ptsd * any_oth,Row 2,0.0761,0.0015,0.0732,0.0789,
Table e_any_ptsd * any_oth,Total,0.0400,0.0002,0.0395,0.0404,
Table e_any_ptsd * any_oth,Difference,-0.0378,0.0015,-0.0407,-0.0349,1
Table e_any_ptsd * any_slp,Row 1,0.0525,0.0003,0.0520,0.0530,
Table e_any_ptsd * any_slp,Row 2,0.0943,0.0016,0.0912,0.0974,
Table e_any_ptsd * any_slp,Total,0.0544,0.0003,0.0539,0.0549,
Table e_any_ptsd * any_slp,Difference,-0.0418,0.0016,-0.0449,-0.0386,1
Table e_any_ptsd * any_sex,Row 1,0.0013,0.0000,0.0012,0.0014,
Table e_any_ptsd * any_sex,Row 2,0.0022,0.0003,0.0017,0.0027,
Table e_any_ptsd * any_sex,Total,0.0013,0.0000,0.0012,0.0014,
Table e_any_ptsd * any_sex,Difference,-0.0010,0.0003,-0.0015,-0.0005,1
Table e_any_ptsd * any_per,Row 1,0.0013,0.0000,0.0013,0.0014,
Table e_any_ptsd * any_per,Row 2,0.0030,0.0003,0.0024,0.0035,
Table e_any_ptsd * any_per,Total,0.0014,0.0000,0.0013,0.0015,
Table e_any_ptsd * any_per,Difference,-0.0016,0.0003,-0.0022,-0.0011,1
Table e_any_ptsd * any_sui,Row 1,0.0032,0.0001,0.0030,0.0033,
Table e_any_ptsd * any_sui,Row 2,0.0078,0.0005,0.0068,0.0087,
Table e_any_ptsd * any_sui,Total,0.0034,0.0001,0.0032,0.0035,
Table e_any_ptsd * any_sui,Difference,-0.0046,0.0005,-0.0055,-0.0037,1
Table e_any_ptsd * any_con,Row 1,0.0420,0.0002,0.0416,0.0425,
Table e_any_ptsd * any_con,Row 2,0.0484,0.0012,0.0461,0.0507,
Table e_any_ptsd * any_con,Total,0.0423,0.0002,0.0419,0.0428,
Table e_any_ptsd * any_con,Difference,-0.0064,0.0012,-0.0087,-0.0040,1
Table e_any_ptsd * any_dev,Row 1,0.0232,0.0002,0.0229,0.0236,
Table e_any_ptsd * any_dev,Row 2,0.0365,0.0010,0.0345,0.0384,
Table e_any_ptsd * any_dev,Total,0.0238,0.0002,0.0235,0.0242,
Table e_any_ptsd * any_dev,Difference,-0.0132,0.0010,-0.0152,-0.0112,1
Table e_any_ptsd * any_stm,Row 1,0.0121,0.0001,0.0119,0.0124,
Table e_any_ptsd * any_stm,Row 2,0.0165,0.0007,0.0151,0.0178,
