Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table any_anx * any_oth,Row 1,0.1685,0.0003,0.1679,0.1692,0.1679,0.1692,
Table any_anx * any_oth,Row 2,0.3901,0.0012,0.3879,0.3924,0.3879,0.3924,
Table any_anx * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_anx * any_oth,Difference,-0.2216,0.0012,-0.2240,-0.2192,_,_,1
Table any_anx * any_slp,Row 1,0.1485,0.0003,0.1479,0.1491,0.1479,0.1491,
Table any_anx * any_slp,Row 2,0.3699,0.0011,0.3676,0.3721,0.3676,0.3721,
Table any_anx * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_anx * any_slp,Difference,-0.2214,0.0012,-0.2237,-0.2191,_,_,1
Table any_anx * any_sex,Row 1,0.0251,0.0001,0.0248,0.0254,0.0248,0.0254,
Table any_anx * any_sex,Row 2,0.0358,0.0004,0.0349,0.0366,0.0349,0.0366,
Table any_anx * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_anx * any_sex,Difference,-0.0107,0.0005,-0.0116,-0.0098,_,_,1
Table any_anx * any_per,Row 1,0.0063,0.0001,0.0062,0.0065,0.0062,0.0065,
Table any_anx * any_per,Row 2,0.0524,0.0005,0.0514,0.0534,0.0514,0.0534,
Table any_anx * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_anx * any_per,Difference,-0.0461,0.0005,-0.0471,-0.0450,_,_,1
Table any_anx * any_sui,Row 1,0.0049,0.0001,0.0047,0.0050,0.0047,0.0050,
Table any_anx * any_sui,Row 2,0.0387,0.0005,0.0378,0.0396,0.0378,0.0396,
Table any_anx * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_anx * any_sui,Difference,-0.0339,0.0005,-0.0348,-0.0329,_,_,1
Table any_phb * any_adhd,Row 1,0.0150,0.0001,0.0148,0.0152,0.0148,0.0152,
Table any_phb * any_adhd,Row 2,0.0764,0.0014,0.0737,0.0791,0.0737,0.0791,
Table any_phb * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_phb * any_adhd,Difference,-0.0613,0.0014,-0.0640,-0.0587,_,_,1
Table any_phb * any_sub,Row 1,0.0525,0.0002,0.0522,0.0529,0.0522,0.0529,
Table any_phb * any_sub,Row 2,0.1826,0.0020,0.1787,0.1865,0.1787,0.1865,
Table any_phb * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_phb * any_sub,Difference,-0.1300,0.0020,-0.1339,-0.1261,_,_,1
Table any_phb * any_dep,Row 1,0.2494,0.0004,0.2487,0.2501,0.2487,0.2501,
Table any_phb * any_dep,Row 2,0.6228,0.0025,0.6179,0.6277,0.6179,0.6277,
Table any_phb * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_phb * any_dep,Difference,-0.3734,0.0025,-0.3783,-0.3684,_,_,1
Table any_phb * any_str,Row 1,0.2408,0.0004,0.2401,0.2415,0.2401,0.2415,
Table any_phb * any_str,Row 2,0.3758,0.0025,0.3709,0.3807,0.3709,0.3807,
Table any_phb * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_phb * any_str,Difference,-0.1350,0.0025,-0.1400,-0.1301,_,_,1
Table any_phb * any_anx,Row 1,0.1155,0.0003,0.1149,0.1160,0.1149,0.1160,
Table any_phb * any_anx,Row 2,0.5550,0.0026,0.5500,0.5600,0.5500,0.5600,
Table any_phb * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_phb * any_anx,Difference,-0.4395,0.0026,-0.4445,-0.4345,_,_,1
Table any_phb * any_phb,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_phb * any_phb,Row 2,1.0000,0.0000,1.0000,1.0000,0.9999,1.0000,
Table any_phb * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_phb * any_phb,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_phb * any_ptsd,Row 1,0.0163,0.0001,0.0161,0.0165,0.0161,0.0165,
Table any_phb * any_ptsd,Row 2,0.0724,0.0013,0.0697,0.0750,0.0698,0.0750,
Table any_phb * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_phb * any_ptsd,Difference,-0.0561,0.0013,-0.0587,-0.0535,_,_,1
Table any_phb * any_som,Row 1,0.0089,0.0001,0.0087,0.0090,0.0087,0.0090,
Table any_phb * any_som,Row 2,0.0371,0.0010,0.0352,0.0390,0.0352,0.0390,
Table any_phb * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_phb * any_som,Difference,-0.0282,0.0010,-0.0301,-0.0263,_,_,1
Table any_phb * any_psy,Row 1,0.0195,0.0001,0.0193,0.0197,0.0193,0.0197,
Table any_phb * any_psy,Row 2,0.0937,0.0015,0.0908,0.0967,0.0908,0.0967,
Table any_phb * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_phb * any_psy,Difference,-0.0742,0.0015,-0.0772,-0.0713,_,_,1
Table any_phb * any_oth,Row 1,0.1918,0.0003,0.1911,0.1924,0.1911,0.1924,
Table any_phb * any_oth,Row 2,0.3763,0.0025,0.3714,0.3812,0.3714,0.3812,
Table any_phb * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_phb * any_oth,Difference,-0.1846,0.0025,-0.1895,-0.1796,_,_,1
Table any_phb * any_slp,Row 1,0.1716,0.0003,0.1710,0.1723,0.1710,0.1723,
Table any_phb * any_slp,Row 2,0.3585,0.0025,0.3536,0.3633,0.3536,0.3633,
Table any_phb * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_phb * any_slp,Difference,-0.1868,0.0025,-0.1917,-0.1819,_,_,1
Table any_phb * any_sex,Row 1,0.0260,0.0001,0.0257,0.0263,0.0257,0.0263,
Table any_phb * any_sex,Row 2,0.0419,0.0010,0.0399,0.0439,0.0399,0.0440,
Table any_phb * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_phb * any_sex,Difference,-0.0159,0.0010,-0.0179,-0.0139,_,_,1
Table any_phb * any_per,Row 1,0.0102,0.0001,0.0100,0.0104,0.0100,0.0104,
Table any_phb * any_per,Row 2,0.0832,0.0014,0.0804,0.0860,0.0804,0.0860,
Table any_phb * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_phb * any_per,Difference,-0.0730,0.0014,-0.0758,-0.0702,_,_,1
Table any_phb * any_sui,Row 1,0.0082,0.0001,0.0081,0.0084,0.0081,0.0084,
Table any_phb * any_sui,Row 2,0.0434,0.0010,0.0414,0.0455,0.0414,0.0455,
Table any_phb * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_phb * any_sui,Difference,-0.0352,0.0011,-0.0373,-0.0331,_,_,1
Table any_ptsd * any_adhd,Row 1,0.0154,0.0001,0.0152,0.0156,0.0152,0.0156,
Table any_ptsd * any_adhd,Row 2,0.0865,0.0018,0.0830,0.0900,0.0831,0.0901,
Table any_ptsd * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_ptsd * any_adhd,Difference,-0.0711,0.0018,-0.0746,-0.0676,_,_,1
Table any_ptsd * any_sub,Row 1,0.0535,0.0002,0.0531,0.0539,0.0531,0.0539,
Table any_ptsd * any_sub,Row 2,0.1973,0.0025,0.1924,0.2023,0.1924,0.2023,
Table any_ptsd * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_ptsd * any_sub,Difference,-0.1438,0.0025,-0.1488,-0.1389,_,_,1
Table any_ptsd * any_dep,Row 1,0.2510,0.0004,0.2503,0.2517,0.2503,0.2517,
Table any_ptsd * any_dep,Row 2,0.7289,0.0028,0.7234,0.7345,0.7234,0.7345,
Table any_ptsd * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_ptsd * any_dep,Difference,-0.4780,0.0028,-0.4835,-0.4724,_,_,1
Table any_ptsd * any_str,Row 1,0.2393,0.0004,0.2386,0.2400,0.2386,0.2400,
Table any_ptsd * any_str,Row 2,0.5272,0.0032,0.5210,0.5334,0.5209,0.5334,
Table any_ptsd * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_ptsd * any_str,Difference,-0.2879,0.0032,-0.2941,-0.2816,_,_,1
Table any_ptsd * any_anx,Row 1,0.1209,0.0003,0.1204,0.1214,0.1204,0.1214,
Table any_ptsd * any_anx,Row 2,0.4835,0.0032,0.4773,0.4897,0.4773,0.4897,
Table any_ptsd * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_ptsd * any_anx,Difference,-0.3626,0.0032,-0.3688,-0.3564,_,_,1
Table any_ptsd * any_phb,Row 1,0.0255,0.0001,0.0252,0.0258,0.0252,0.0258,
Table any_ptsd * any_phb,Row 2,0.1099,0.0020,0.1060,0.1137,0.1060,0.1138,
Table any_ptsd * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_ptsd * any_phb,Difference,-0.0844,0.0020,-0.0883,-0.0805,_,_,1
Table any_ptsd * any_ptsd,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_ptsd * any_ptsd,Row 2,1.0000,0.0000,1.0000,1.0000,0.9999,1.0000,
Table any_ptsd * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_ptsd * any_ptsd,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_ptsd * any_som,Row 1,0.0089,0.0001,0.0087,0.0090,0.0087,0.0090,
Table any_ptsd * any_som,Row 2,0.0506,0.0014,0.0478,0.0533,0.0479,0.0534,
Table any_ptsd * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_ptsd * any_som,Difference,-0.0417,0.0014,-0.0444,-0.0389,_,_,1
Table any_ptsd * any_psy,Row 1,0.0199,0.0001,0.0197,0.0201,0.0197,0.0201,
Table any_ptsd * any_psy,Row 2,0.1090,0.0020,0.1051,0.1129,0.1052,0.1129,
Table any_ptsd * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_ptsd * any_psy,Difference,-0.0891,0.0020,-0.0930,-0.0852,_,_,1
Table any_ptsd * any_oth,Row 1,0.1915,0.0003,0.1909,0.1922,0.1909,0.1922,
Table any_ptsd * any_oth,Row 2,0.4844,0.0032,0.4782,0.4906,0.4782,0.4906,
Table any_ptsd * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_ptsd * any_oth,Difference,-0.2929,0.0032,-0.2991,-0.2866,_,_,1
Table any_ptsd * any_slp,Row 1,0.1720,0.0003,0.1714,0.1727,0.1714,0.1727,
Table any_ptsd * any_slp,Row 2,0.4332,0.0031,0.4270,0.4394,0.4270,0.4394,
Table any_ptsd * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_ptsd * any_slp,Difference,-0.2612,0.0032,-0.2674,-0.2550,_,_,1
Table any_ptsd * any_sex,Row 1,0.0263,0.0001,0.0260,0.0265,0.0260,0.0265,
Table any_ptsd * any_sex,Row 2,0.0354,0.0012,0.0331,0.0377,0.0331,0.0377,
Table any_ptsd * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_ptsd * any_sex,Difference,-0.0091,0.0012,-0.0114,-0.0068,_,_,1
Table any_ptsd * any_per,Row 1,0.0107,0.0001,0.0106,0.0109,0.0106,0.0109,
Table any_ptsd * any_per,Row 2,0.0925,0.0018,0.0889,0.0961,0.0889,0.0961,
Table any_ptsd * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_ptsd * any_per,Difference,-0.0817,0.0018,-0.0854,-0.0781,_,_,1
Table any_ptsd * any_sui,Row 1,0.0081,0.0001,0.0079,0.0082,0.0079,0.0082,
Table any_ptsd * any_sui,Row 2,0.0693,0.0016,0.0661,0.0724,0.0661,0.0725,
Table any_ptsd * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_ptsd * any_sui,Difference,-0.0612,0.0016,-0.0643,-0.0580,_,_,1
Table any_som * any_adhd,Row 1,0.0164,0.0001,0.0162,0.0166,0.0162,0.0166,
Table any_som * any_adhd,Row 2,0.0488,0.0019,0.0452,0.0524,0.0452,0.0526,
Table any_som * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_som * any_adhd,Difference,-0.0324,0.0019,-0.0361,-0.0288,_,_,1
Table any_som * any_sub,Row 1,0.0554,0.0002,0.0550,0.0558,0.0550,0.0558,
Table any_som * any_sub,Row 2,0.1207,0.0028,0.1152,0.1262,0.1152,0.1263,
Table any_som * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_som * any_sub,Difference,-0.0653,0.0028,-0.0708,-0.0598,_,_,1
Table any_som * any_dep,Row 1,0.2565,0.0004,0.2558,0.2572,0.2558,0.2572,
Table any_som * any_dep,Row 2,0.5642,0.0043,0.5558,0.5726,0.5558,0.5726,
Table any_som * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_som * any_dep,Difference,-0.3077,0.0043,-0.3161,-0.2993,_,_,1
Table any_som * any_str,Row 1,0.2431,0.0004,0.2424,0.2438,0.2424,0.2438,
Table any_som * any_str,Row 2,0.3839,0.0042,0.3757,0.3921,0.3756,0.3921,
Table any_som * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_som * any_str,Difference,-0.1408,0.0042,-0.1490,-0.1325,_,_,1
Table any_som * any_anx,Row 1,0.1239,0.0003,0.1234,0.1245,0.1234,0.1245,
Table any_som * any_anx,Row 2,0.4795,0.0043,0.4711,0.4880,0.4711,0.4880,
Table any_som * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_som * any_anx,Difference,-0.3556,0.0043,-0.3641,-0.3472,_,_,1
Table any_som * any_phb,Row 1,0.0262,0.0001,0.0260,0.0265,0.0260,0.0265,
Table any_som * any_phb,Row 2,0.1039,0.0026,0.0988,0.1091,0.0988,0.1092,
Table any_som * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_som * any_phb,Difference,-0.0777,0.0026,-0.0828,-0.0725,_,_,1
Table any_som * any_ptsd,Row 1,0.0170,0.0001,0.0168,0.0173,0.0168,0.0173,
Table any_som * any_ptsd,Row 2,0.0934,0.0025,0.0885,0.0983,0.0885,0.0984,
Table any_som * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_som * any_ptsd,Difference,-0.0763,0.0025,-0.0812,-0.0714,_,_,1
Table any_som * any_som,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_som * any_som,Row 2,1.0000,0.0000,1.0000,1.0000,0.9997,1.0000,
Table any_som * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_som * any_som,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_som * any_psy,Row 1,0.0209,0.0001,0.0206,0.0211,0.0206,0.0211,
Table any_som * any_psy,Row 2,0.0864,0.0024,0.0816,0.0911,0.0817,0.0913,
Table any_som * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_som * any_psy,Difference,-0.0655,0.0024,-0.0703,-0.0608,_,_,1
Table any_som * any_oth,Row 1,0.1947,0.0003,0.1940,0.1953,0.1940,0.1953,
Table any_som * any_oth,Row 2,0.4078,0.0042,0.3995,0.4161,0.3995,0.4161,
Table any_som * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_som * any_oth,Difference,-0.2131,0.0042,-0.2214,-0.2048,_,_,1
Table any_som * any_slp,Row 1,0.1751,0.0003,0.1744,0.1757,0.1744,0.1757,
Table any_som * any_slp,Row 2,0.3420,0.0041,0.3340,0.3501,0.3340,0.3501,
Table any_som * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_som * any_slp,Difference,-0.1670,0.0041,-0.1750,-0.1589,_,_,1
Table any_som * any_sex,Row 1,0.0264,0.0001,0.0261,0.0266,0.0261,0.0266,
Table any_som * any_sex,Row 2,0.0325,0.0015,0.0295,0.0355,0.0295,0.0356,
Table any_som * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_som * any_sex,Difference,-0.0061,0.0015,-0.0091,-0.0031,_,_,1
Table any_som * any_per,Row 1,0.0116,0.0001,0.0115,0.0118,0.0115,0.0118,
Table any_som * any_per,Row 2,0.0677,0.0022,0.0634,0.0719,0.0635,0.0720,
Table any_som * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_som * any_per,Difference,-0.0560,0.0022,-0.0603,-0.0518,_,_,1
Table any_som * any_sui,Row 1,0.0089,0.0001,0.0087,0.0090,0.0087,0.0090,
Table any_som * any_sui,Row 2,0.0414,0.0017,0.0380,0.0447,0.0381,0.0449,
Table any_som * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_som * any_sui,Difference,-0.0325,0.0017,-0.0359,-0.0291,_,_,1
Table any_psy * any_adhd,Row 1,0.0143,0.0001,0.0141,0.0145,0.0141,0.0145,
Table any_psy * any_adhd,Row 2,0.1245,0.0019,0.1208,0.1283,0.1208,0.1283,
Table any_psy * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_psy * any_adhd,Difference,-0.1102,0.0019,-0.1139,-0.1065,_,_,1
Table any_psy * any_sub,Row 1,0.0508,0.0002,0.0505,0.0512,0.0505,0.0512,
Table any_psy * any_sub,Row 2,0.2937,0.0026,0.2885,0.2988,0.2885,0.2988,
Table any_psy * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_psy * any_sub,Difference,-0.2428,0.0026,-0.2480,-0.2377,_,_,1
Table any_psy * any_dep,Row 1,0.2488,0.0004,0.2481,0.2496,0.2481,0.2496,
Table any_psy * any_dep,Row 2,0.7434,0.0025,0.7385,0.7483,0.7384,0.7483,
Table any_psy * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_psy * any_dep,Difference,-0.4946,0.0025,-0.4995,-0.4896,_,_,1
Table any_psy * any_str,Row 1,0.2415,0.0004,0.2408,0.2422,0.2408,0.2422,
Table any_psy * any_str,Row 2,0.3795,0.0028,0.3740,0.3849,0.3740,0.3850,
Table any_psy * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_psy * any_str,Difference,-0.1380,0.0028,-0.1435,-0.1324,_,_,1
Table any_psy * any_anx,Row 1,0.1195,0.0003,0.1190,0.1201,0.1190,0.1201,
Table any_psy * any_anx,Row 2,0.4839,0.0029,0.4783,0.4896,0.4783,0.4896,
Table any_psy * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_psy * any_anx,Difference,-0.3644,0.0029,-0.3701,-0.3587,_,_,1
Table any_psy * any_phb,Row 1,0.0250,0.0001,0.0247,0.0253,0.0247,0.0253,
Table any_psy * any_phb,Row 2,0.1177,0.0019,0.1141,0.1213,0.1141,0.1214,
Table any_psy * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_psy * any_phb,Difference,-0.0927,0.0019,-0.0964,-0.0891,_,_,1
Table any_psy * any_ptsd,Row 1,0.0162,0.0001,0.0160,0.0164,0.0160,0.0164,
Table any_psy * any_ptsd,Row 2,0.0902,0.0017,0.0869,0.0934,0.0869,0.0935,
Table any_psy * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_psy * any_ptsd,Difference,-0.0740,0.0017,-0.0772,-0.0707,_,_,1
Table any_psy * any_som,Row 1,0.0090,0.0001,0.0088,0.0091,0.0088,0.0091,
Table any_psy * any_som,Row 2,0.0387,0.0011,0.0365,0.0409,0.0365,0.0409,
Table any_psy * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_psy * any_som,Difference,-0.0297,0.0011,-0.0319,-0.0275,_,_,1
Table any_psy * any_psy,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_psy * any_psy,Row 2,1.0000,0.0000,1.0000,1.0000,0.9999,1.0000,
Table any_psy * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_psy * any_psy,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_psy * any_oth,Row 1,0.1894,0.0003,0.1887,0.1900,0.1887,0.1900,
Table any_psy * any_oth,Row 2,0.5317,0.0029,0.5260,0.5373,0.5260,0.5373,
Table any_psy * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_psy * any_oth,Difference,-0.3423,0.0029,-0.3480,-0.3366,_,_,1
Table any_psy * any_slp,Row 1,0.1709,0.0003,0.1703,0.1715,0.1703,0.1715,
Table any_psy * any_slp,Row 2,0.4406,0.0029,0.4350,0.4462,0.4349,0.4462,
Table any_psy * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_psy * any_slp,Difference,-0.2697,0.0029,-0.2753,-0.2640,_,_,1
Table any_psy * any_sex,Row 1,0.0259,0.0001,0.0256,0.0262,0.0257,0.0262,
Table any_psy * any_sex,Row 2,0.0501,0.0013,0.0477,0.0526,0.0477,0.0527,
Table any_psy * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_psy * any_sex,Difference,-0.0242,0.0013,-0.0267,-0.0217,_,_,1
Table any_psy * any_per,Row 1,0.0094,0.0001,0.0092,0.0095,0.0092,0.0095,
Table any_psy * any_per,Row 2,0.1403,0.0020,0.1364,0.1442,0.1364,0.1443,
Table any_psy * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_psy * any_per,Difference,-0.1309,0.0020,-0.1349,-0.1270,_,_,1
Table any_psy * any_sui,Row 1,0.0068,0.0001,0.0067,0.0070,0.0067,0.0070,
Table any_psy * any_sui,Row 2,0.1152,0.0018,0.1116,0.1188,0.1116,0.1188,
Table any_psy * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_psy * any_sui,Difference,-0.1083,0.0018,-0.1119,-0.1047,_,_,1
Table any_oth * any_adhd,Row 1,0.0105,0.0001,0.0103,0.0107,0.0103,0.0107,
Table any_oth * any_adhd,Row 2,0.0419,0.0004,0.0412,0.0427,0.0412,0.0427,
Table any_oth * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_oth * any_adhd,Difference,-0.0314,0.0004,-0.0322,-0.0306,_,_,1
Table any_oth * any_sub,Row 1,0.0453,0.0002,0.0449,0.0457,0.0449,0.0457,
Table any_oth * any_sub,Row 2,0.0999,0.0006,0.0988,0.1010,0.0988,0.1011,
Table any_oth * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_oth * any_sub,Difference,-0.0546,0.0006,-0.0558,-0.0534,_,_,1
Table any_oth * any_dep,Row 1,0.2045,0.0004,0.2037,0.2052,0.2037,0.2052,
Table any_oth * any_dep,Row 2,0.4840,0.0010,0.4822,0.4859,0.4822,0.4859,
Table any_oth * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_oth * any_dep,Difference,-0.2796,0.0010,-0.2816,-0.2776,_,_,1
Table any_oth * any_str,Row 1,0.2048,0.0004,0.2040,0.2055,0.2040,0.2055,
Table any_oth * any_str,Row 2,0.4063,0.0009,0.4045,0.4082,0.4045,0.4082,
Table any_oth * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_oth * any_str,Difference,-0.2015,0.0010,-0.2035,-0.1996,_,_,1
Table any_oth * any_anx,Row 1,0.0967,0.0003,0.0961,0.0972,0.0961,0.0972,
