Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table any_oth * any_anx,Row 2,0.2525,0.0008,0.2509,0.2541,0.2509,0.2541,
Table any_oth * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_oth * any_anx,Difference,-0.1558,0.0009,-0.1575,-0.1541,_,_,1
Table any_oth * any_phb,Row 1,0.0210,0.0001,0.0207,0.0212,0.0207,0.0212,
Table any_oth * any_phb,Row 2,0.0516,0.0004,0.0508,0.0525,0.0508,0.0525,
Table any_oth * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_oth * any_phb,Difference,-0.0307,0.0004,-0.0315,-0.0298,_,_,1
Table any_oth * any_ptsd,Row 1,0.0114,0.0001,0.0112,0.0116,0.0112,0.0116,
Table any_oth * any_ptsd,Row 2,0.0438,0.0004,0.0430,0.0445,0.0430,0.0445,
Table any_oth * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_oth * any_ptsd,Difference,-0.0324,0.0004,-0.0332,-0.0316,_,_,1
Table any_oth * any_som,Row 1,0.0071,0.0001,0.0069,0.0073,0.0069,0.0073,
Table any_oth * any_som,Row 2,0.0200,0.0003,0.0194,0.0205,0.0194,0.0205,
Table any_oth * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_oth * any_som,Difference,-0.0129,0.0003,-0.0134,-0.0123,_,_,1
Table any_oth * any_psy,Row 1,0.0125,0.0001,0.0123,0.0127,0.0123,0.0127,
Table any_oth * any_psy,Row 2,0.0581,0.0004,0.0572,0.0590,0.0572,0.0590,
Table any_oth * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_oth * any_psy,Difference,-0.0456,0.0005,-0.0465,-0.0447,_,_,1
Table any_oth * any_oth,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_oth * any_oth,Row 2,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
Table any_oth * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_oth * any_oth,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_oth * any_slp,Row 1,0.1461,0.0003,0.1455,0.1468,0.1455,0.1468,
Table any_oth * any_slp,Row 2,0.3015,0.0009,0.2997,0.3032,0.2997,0.3032,
Table any_oth * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_oth * any_slp,Difference,-0.1553,0.0009,-0.1572,-0.1535,_,_,1
Table any_oth * any_sex,Row 1,0.0254,0.0001,0.0252,0.0257,0.0252,0.0257,
Table any_oth * any_sex,Row 2,0.0305,0.0003,0.0298,0.0311,0.0298,0.0311,
Table any_oth * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_oth * any_sex,Difference,-0.0050,0.0004,-0.0057,-0.0043,_,_,1
Table any_oth * any_per,Row 1,0.0072,0.0001,0.0071,0.0074,0.0071,0.0074,
Table any_oth * any_per,Row 2,0.0325,0.0003,0.0318,0.0331,0.0318,0.0331,
Table any_oth * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_oth * any_per,Difference,-0.0252,0.0003,-0.0259,-0.0246,_,_,1
Table any_oth * any_sui,Row 1,0.0054,0.0001,0.0053,0.0056,0.0053,0.0056,
Table any_oth * any_sui,Row 2,0.0245,0.0003,0.0239,0.0251,0.0239,0.0251,
Table any_oth * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_oth * any_sui,Difference,-0.0191,0.0003,-0.0197,-0.0185,_,_,1
Table any_slp * any_adhd,Row 1,0.0116,0.0001,0.0114,0.0118,0.0114,0.0118,
Table any_slp * any_adhd,Row 2,0.0405,0.0004,0.0398,0.0413,0.0398,0.0413,
Table any_slp * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_slp * any_adhd,Difference,-0.0290,0.0004,-0.0298,-0.0282,_,_,1
Table any_slp * any_sub,Row 1,0.0421,0.0002,0.0417,0.0424,0.0417,0.0424,
Table any_slp * any_sub,Row 2,0.1212,0.0007,0.1199,0.1225,0.1199,0.1225,
Table any_slp * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_slp * any_sub,Difference,-0.0791,0.0007,-0.0805,-0.0778,_,_,1
Table any_slp * any_dep,Row 1,0.2115,0.0004,0.2107,0.2122,0.2107,0.2122,
Table any_slp * any_dep,Row 2,0.4831,0.0010,0.4811,0.4851,0.4811,0.4851,
Table any_slp * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_slp * any_dep,Difference,-0.2716,0.0011,-0.2737,-0.2695,_,_,1
Table any_slp * any_str,Row 1,0.2145,0.0004,0.2138,0.2153,0.2138,0.2153,
Table any_slp * any_str,Row 2,0.3838,0.0010,0.3819,0.3857,0.3819,0.3858,
Table any_slp * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_slp * any_str,Difference,-0.1693,0.0011,-0.1714,-0.1672,_,_,1
Table any_slp * any_anx,Row 1,0.0975,0.0003,0.0969,0.0980,0.0969,0.0980,
Table any_slp * any_anx,Row 2,0.2666,0.0009,0.2648,0.2683,0.2648,0.2683,
Table any_slp * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_slp * any_anx,Difference,-0.1691,0.0009,-0.1710,-0.1673,_,_,1
Table any_slp * any_phb,Row 1,0.0210,0.0001,0.0208,0.0213,0.0208,0.0213,
Table any_slp * any_phb,Row 2,0.0548,0.0005,0.0539,0.0557,0.0539,0.0557,
Table any_slp * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_slp * any_phb,Difference,-0.0337,0.0005,-0.0347,-0.0328,_,_,1
Table any_slp * any_ptsd,Row 1,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_slp * any_ptsd,Row 2,0.0436,0.0004,0.0428,0.0444,0.0428,0.0444,
Table any_slp * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_slp * any_ptsd,Difference,-0.0313,0.0004,-0.0322,-0.0305,_,_,1
Table any_slp * any_som,Row 1,0.0077,0.0001,0.0075,0.0079,0.0075,0.0079,
Table any_slp * any_som,Row 2,0.0186,0.0003,0.0181,0.0192,0.0181,0.0192,
Table any_slp * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_slp * any_som,Difference,-0.0109,0.0003,-0.0115,-0.0104,_,_,1
Table any_slp * any_psy,Row 1,0.0146,0.0001,0.0144,0.0148,0.0144,0.0148,
Table any_slp * any_psy,Row 2,0.0536,0.0005,0.0527,0.0545,0.0527,0.0545,
Table any_slp * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_slp * any_psy,Difference,-0.0390,0.0005,-0.0399,-0.0381,_,_,1
Table any_slp * any_oth,Row 1,0.1669,0.0003,0.1662,0.1676,0.1662,0.1676,
Table any_slp * any_oth,Row 2,0.3357,0.0009,0.3338,0.3375,0.3338,0.3375,
Table any_slp * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_slp * any_oth,Difference,-0.1687,0.0010,-0.1707,-0.1667,_,_,1
Table any_slp * any_slp,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_slp * any_slp,Row 2,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,
Table any_slp * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_slp * any_slp,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_slp * any_sex,Row 1,0.0232,0.0001,0.0229,0.0234,0.0229,0.0234,
Table any_slp * any_sex,Row 2,0.0417,0.0004,0.0409,0.0425,0.0409,0.0425,
Table any_slp * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_slp * any_sex,Difference,-0.0186,0.0004,-0.0194,-0.0177,_,_,1
Table any_slp * any_per,Row 1,0.0086,0.0001,0.0084,0.0087,0.0084,0.0087,
Table any_slp * any_per,Row 2,0.0290,0.0003,0.0283,0.0297,0.0284,0.0297,
Table any_slp * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_slp * any_per,Difference,-0.0204,0.0003,-0.0211,-0.0198,_,_,1
Table any_slp * any_sui,Row 1,0.0056,0.0001,0.0055,0.0057,0.0055,0.0057,
Table any_slp * any_sui,Row 2,0.0259,0.0003,0.0253,0.0265,0.0253,0.0265,
Table any_slp * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_slp * any_sui,Difference,-0.0203,0.0003,-0.0209,-0.0197,_,_,1
Table any_sex * any_adhd,Row 1,0.0160,0.0001,0.0158,0.0162,0.0158,0.0162,
Table any_sex * any_adhd,Row 2,0.0416,0.0010,0.0396,0.0436,0.0396,0.0437,
Table any_sex * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_sex * any_adhd,Difference,-0.0256,0.0010,-0.0276,-0.0235,_,_,1
Table any_sex * any_sub,Row 1,0.0540,0.0002,0.0536,0.0544,0.0536,0.0544,
Table any_sex * any_sub,Row 2,0.1309,0.0018,0.1275,0.1344,0.1275,0.1344,
Table any_sex * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_sex * any_sub,Difference,-0.0769,0.0018,-0.0804,-0.0735,_,_,1
Table any_sex * any_dep,Row 1,0.2572,0.0004,0.2564,0.2579,0.2564,0.2579,
Table any_sex * any_dep,Row 2,0.3443,0.0025,0.3395,0.3491,0.3395,0.3492,
Table any_sex * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_sex * any_dep,Difference,-0.0871,0.0025,-0.0920,-0.0822,_,_,1
Table any_sex * any_str,Row 1,0.2439,0.0004,0.2432,0.2446,0.2432,0.2446,
Table any_sex * any_str,Row 2,0.2642,0.0023,0.2597,0.2687,0.2597,0.2688,
Table any_sex * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_sex * any_str,Difference,-0.0203,0.0023,-0.0249,-0.0158,_,_,1
Table any_sex * any_anx,Row 1,0.1261,0.0003,0.1256,0.1267,0.1256,0.1267,
Table any_sex * any_anx,Row 2,0.1723,0.0020,0.1684,0.1761,0.1685,0.1762,
Table any_sex * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_sex * any_anx,Difference,-0.0462,0.0020,-0.0501,-0.0423,_,_,1
Table any_sex * any_phb,Row 1,0.0266,0.0001,0.0263,0.0268,0.0263,0.0268,
Table any_sex * any_phb,Row 2,0.0428,0.0011,0.0407,0.0449,0.0407,0.0449,
Table any_sex * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_sex * any_phb,Difference,-0.0162,0.0011,-0.0183,-0.0141,_,_,1
Table any_sex * any_ptsd,Row 1,0.0176,0.0001,0.0174,0.0178,0.0174,0.0178,
Table any_sex * any_ptsd,Row 2,0.0238,0.0008,0.0222,0.0253,0.0222,0.0254,
Table any_sex * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_sex * any_ptsd,Difference,-0.0062,0.0008,-0.0077,-0.0046,_,_,1
Table any_sex * any_som,Row 1,0.0096,0.0001,0.0094,0.0097,0.0094,0.0097,
Table any_sex * any_som,Row 2,0.0118,0.0006,0.0107,0.0129,0.0107,0.0130,
Table any_sex * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_sex * any_som,Difference,-0.0023,0.0006,-0.0034,-0.0011,_,_,1
Table any_sex * any_psy,Row 1,0.0210,0.0001,0.0207,0.0212,0.0207,0.0212,
Table any_sex * any_psy,Row 2,0.0408,0.0010,0.0387,0.0428,0.0388,0.0428,
Table any_sex * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_sex * any_psy,Difference,-0.0198,0.0010,-0.0218,-0.0178,_,_,1
Table any_sex * any_oth,Row 1,0.1959,0.0003,0.1953,0.1966,0.1953,0.1966,
Table any_sex * any_oth,Row 2,0.2268,0.0022,0.2225,0.2310,0.2225,0.2311,
Table any_sex * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_sex * any_oth,Difference,-0.0309,0.0022,-0.0352,-0.0265,_,_,1
Table any_sex * any_slp,Row 1,0.1739,0.0003,0.1733,0.1746,0.1733,0.1746,
Table any_sex * any_slp,Row 2,0.2788,0.0023,0.2742,0.2834,0.2742,0.2834,
Table any_sex * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_sex * any_slp,Difference,-0.1049,0.0024,-0.1095,-0.1003,_,_,1
Table any_sex * any_sex,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_sex * any_sex,Row 2,1.0000,0.0000,1.0000,1.0000,0.9999,1.0000,
Table any_sex * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_sex * any_sex,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_sex * any_per,Row 1,0.0118,0.0001,0.0116,0.0120,0.0116,0.0120,
Table any_sex * any_per,Row 2,0.0260,0.0008,0.0243,0.0276,0.0244,0.0276,
Table any_sex * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_sex * any_per,Difference,-0.0142,0.0008,-0.0158,-0.0125,_,_,1
Table any_sex * any_sui,Row 1,0.0088,0.0001,0.0086,0.0090,0.0086,0.0090,
Table any_sex * any_sui,Row 2,0.0227,0.0008,0.0212,0.0242,0.0212,0.0243,
Table any_sex * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_sex * any_sui,Difference,-0.0139,0.0008,-0.0154,-0.0124,_,_,1
Table any_per * any_adhd,Row 1,0.0150,0.0001,0.0148,0.0152,0.0148,0.0152,
Table any_per * any_adhd,Row 2,0.1557,0.0028,0.1503,0.1612,0.1503,0.1613,
Table any_per * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_per * any_adhd,Difference,-0.1408,0.0028,-0.1462,-0.1353,_,_,1
Table any_per * any_sub,Row 1,0.0530,0.0002,0.0527,0.0534,0.0527,0.0534,
Table any_per * any_sub,Row 2,0.2999,0.0035,0.2930,0.3068,0.2930,0.3068,
Table any_per * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_per * any_sub,Difference,-0.2469,0.0035,-0.2537,-0.2400,_,_,1
Table any_per * any_dep,Row 1,0.2530,0.0004,0.2523,0.2538,0.2523,0.2538,
Table any_per * any_dep,Row 2,0.7812,0.0032,0.7750,0.7874,0.7749,0.7874,
Table any_per * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_per * any_dep,Difference,-0.5282,0.0032,-0.5344,-0.5219,_,_,1
Table any_per * any_str,Row 1,0.2422,0.0004,0.2415,0.2429,0.2415,0.2429,
Table any_per * any_str,Row 2,0.4274,0.0038,0.4200,0.4349,0.4200,0.4349,
Table any_per * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_per * any_str,Difference,-0.1853,0.0038,-0.1927,-0.1778,_,_,1
Table any_per * any_anx,Row 1,0.1222,0.0003,0.1216,0.1227,0.1216,0.1227,
Table any_per * any_anx,Row 2,0.5478,0.0038,0.5403,0.5553,0.5403,0.5553,
Table any_per * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_per * any_anx,Difference,-0.4256,0.0038,-0.4331,-0.4181,_,_,1
Table any_per * any_phb,Row 1,0.0251,0.0001,0.0248,0.0253,0.0248,0.0253,
Table any_per * any_phb,Row 2,0.1843,0.0030,0.1785,0.1901,0.1785,0.1902,
Table any_per * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_per * any_phb,Difference,-0.1593,0.0030,-0.1651,-0.1534,_,_,1
Table any_per * any_ptsd,Row 1,0.0163,0.0001,0.0161,0.0165,0.0161,0.0165,
Table any_per * any_ptsd,Row 2,0.1349,0.0026,0.1298,0.1401,0.1299,0.1402,
Table any_per * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_per * any_ptsd,Difference,-0.1186,0.0026,-0.1238,-0.1135,_,_,1
Table any_per * any_som,Row 1,0.0091,0.0001,0.0089,0.0092,0.0089,0.0092,
Table any_per * any_som,Row 2,0.0535,0.0017,0.0501,0.0569,0.0501,0.0570,
Table any_per * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_per * any_som,Difference,-0.0444,0.0017,-0.0478,-0.0410,_,_,1
Table any_per * any_psy,Row 1,0.0187,0.0001,0.0185,0.0189,0.0185,0.0189,
Table any_per * any_psy,Row 2,0.2475,0.0033,0.2411,0.2540,0.2411,0.2541,
Table any_per * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_per * any_psy,Difference,-0.2288,0.0033,-0.2353,-0.2223,_,_,1
Table any_per * any_oth,Row 1,0.1927,0.0003,0.1920,0.1934,0.1920,0.1934,
Table any_per * any_oth,Row 2,0.5242,0.0038,0.5167,0.5317,0.5167,0.5317,
Table any_per * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_per * any_oth,Difference,-0.3315,0.0038,-0.3390,-0.3240,_,_,1
Table any_per * any_slp,Row 1,0.1737,0.0003,0.1730,0.1743,0.1730,0.1743,
Table any_per * any_slp,Row 2,0.4208,0.0038,0.4133,0.4282,0.4133,0.4282,
Table any_per * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_per * any_slp,Difference,-0.2471,0.0038,-0.2545,-0.2396,_,_,1
Table any_per * any_sex,Row 1,0.0261,0.0001,0.0258,0.0263,0.0258,0.0263,
Table any_per * any_sex,Row 2,0.0564,0.0018,0.0529,0.0598,0.0529,0.0599,
Table any_per * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_per * any_sex,Difference,-0.0303,0.0018,-0.0338,-0.0268,_,_,1
Table any_per * any_per,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_per * any_per,Row 2,1.0000,0.0000,1.0000,1.0000,0.9998,1.0000,
Table any_per * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_per * any_per,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_per * any_sui,Row 1,0.0076,0.0001,0.0074,0.0077,0.0074,0.0077,
Table any_per * any_sui,Row 2,0.1375,0.0026,0.1323,0.1426,0.1323,0.1427,
Table any_per * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_per * any_sui,Difference,-0.1299,0.0026,-0.1351,-0.1247,_,_,1
Table any_sui * any_adhd,Row 1,0.0156,0.0001,0.0154,0.0159,0.0154,0.0159,
Table any_sui * any_adhd,Row 2,0.1300,0.0030,0.1241,0.1358,0.1242,0.1359,
Table any_sui * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_sui * any_adhd,Difference,-0.1143,0.0030,-0.1201,-0.1085,_,_,1
Table any_sui * any_sub,Row 1,0.0521,0.0002,0.0517,0.0524,0.0517,0.0525,
Table any_sui * any_sub,Row 2,0.4848,0.0044,0.4762,0.4935,0.4762,0.4935,
Table any_sui * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_sui * any_sub,Difference,-0.4328,0.0044,-0.4414,-0.4241,_,_,1
Table any_sui * any_dep,Row 1,0.2540,0.0004,0.2533,0.2547,0.2533,0.2547,
Table any_sui * any_dep,Row 2,0.8534,0.0031,0.8473,0.8596,0.8472,0.8595,
Table any_sui * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_sui * any_dep,Difference,-0.5995,0.0031,-0.6056,-0.5933,_,_,1
Table any_sui * any_str,Row 1,0.2421,0.0004,0.2414,0.2428,0.2414,0.2428,
Table any_sui * any_str,Row 2,0.4972,0.0044,0.4886,0.5059,0.4885,0.5059,
Table any_sui * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_sui * any_str,Difference,-0.2551,0.0044,-0.2638,-0.2465,_,_,1
Table any_sui * any_anx,Row 1,0.1235,0.0003,0.1230,0.1241,0.1230,0.1241,
Table any_sui * any_anx,Row 2,0.5375,0.0044,0.5288,0.5461,0.5288,0.5461,
Table any_sui * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_sui * any_anx,Difference,-0.4139,0.0044,-0.4226,-0.4053,_,_,1
Table any_sui * any_phb,Row 1,0.0261,0.0001,0.0258,0.0263,0.0258,0.0263,
Table any_sui * any_phb,Row 2,0.1278,0.0029,0.1220,0.1336,0.1220,0.1337,
Table any_sui * any_phb,Total,0.0270,0.0001,0.0267,0.0273,0.0267,0.0273,
Table any_sui * any_phb,Difference,-0.1017,0.0030,-0.1075,-0.0959,_,_,1
Table any_sui * any_ptsd,Row 1,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_sui * any_ptsd,Row 2,0.1342,0.0030,0.1283,0.1401,0.1284,0.1403,
Table any_sui * any_ptsd,Total,0.0178,0.0001,0.0176,0.0180,0.0176,0.0180,
Table any_sui * any_ptsd,Difference,-0.1175,0.0030,-0.1235,-0.1116,_,_,1
Table any_sui * any_som,Row 1,0.0093,0.0001,0.0092,0.0095,0.0092,0.0095,
Table any_sui * any_som,Row 2,0.0434,0.0018,0.0399,0.0470,0.0400,0.0471,
Table any_sui * any_som,Total,0.0096,0.0001,0.0095,0.0098,0.0095,0.0098,
Table any_sui * any_som,Difference,-0.0341,0.0018,-0.0376,-0.0306,_,_,1
Table any_sui * any_psy,Row 1,0.0192,0.0001,0.0190,0.0194,0.0190,0.0194,
Table any_sui * any_psy,Row 2,0.2699,0.0039,0.2622,0.2776,0.2622,0.2777,
Table any_sui * any_psy,Total,0.0215,0.0001,0.0213,0.0217,0.0213,0.0217,
Table any_sui * any_psy,Difference,-0.2507,0.0039,-0.2584,-0.2430,_,_,1
Table any_sui * any_oth,Row 1,0.1937,0.0003,0.1930,0.1944,0.1930,0.1944,
Table any_sui * any_oth,Row 2,0.5255,0.0044,0.5168,0.5341,0.5168,0.5341,
Table any_sui * any_oth,Total,0.1967,0.0003,0.1961,0.1974,0.1961,0.1974,
Table any_sui * any_oth,Difference,-0.3318,0.0044,-0.3404,-0.3231,_,_,1
Table any_sui * any_slp,Row 1,0.1737,0.0003,0.1731,0.1743,0.1731,0.1743,
Table any_sui * any_slp,Row 2,0.4986,0.0044,0.4899,0.5072,0.4899,0.5072,
Table any_sui * any_slp,Total,0.1767,0.0003,0.1761,0.1773,0.1761,0.1773,
Table any_sui * any_slp,Difference,-0.3248,0.0044,-0.3335,-0.3162,_,_,1
Table any_sui * any_sex,Row 1,0.0261,0.0001,0.0258,0.0263,0.0258,0.0263,
Table any_sui * any_sex,Row 2,0.0654,0.0022,0.0611,0.0697,0.0612,0.0698,
Table any_sui * any_sex,Total,0.0264,0.0001,0.0262,0.0267,0.0262,0.0267,
Table any_sui * any_sex,Difference,-0.0393,0.0022,-0.0436,-0.0350,_,_,1
Table any_sui * any_per,Row 1,0.0106,0.0001,0.0104,0.0108,0.0104,0.0108,
Table any_sui * any_per,Row 2,0.1826,0.0034,0.1759,0.1893,0.1759,0.1894,
Table any_sui * any_per,Total,0.0122,0.0001,0.0120,0.0124,0.0120,0.0124,
Table any_sui * any_per,Difference,-0.1720,0.0034,-0.1787,-0.1653,_,_,1
Table any_sui * any_sui,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_sui * any_sui,Row 2,1.0000,0.0000,1.0000,1.0000,0.9997,1.0000,
Table any_sui * any_sui,Total,0.0092,0.0001,0.0090,0.0093,0.0090,0.0093,
Table any_sui * any_sui,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
