lhs,est_dd_ext,est_dd_int,est_dd_thd,est_dm_ext,est_dm_int,est_dm_thd,est_md_ext,est_md_int,est_md_thd,est_mm_ext,est_mm_int,est_mm_thd,est_d_ext,est_d_int,est_d_thd,est_m_ext,est_m_int,est_m_thd,est_c_ext,est_c_int,est_c_thd,pvalue_dd_ext,pvalue_dd_int,pvalue_dd_thd,pvalue_dm_ext,pvalue_dm_int,pvalue_dm_thd,pvalue_md_ext,pvalue_md_int,pvalue_md_thd,pvalue_mm_ext,pvalue_mm_int,pvalue_mm_thd,pvalue_d_ext,pvalue_d_int,pvalue_d_thd,pvalue_m_ext,pvalue_m_int,pvalue_m_thd,pvalue_c_ext,pvalue_c_int,pvalue_c_thd
dd_ext,NA,0.4058704589307128,0.32040282765301953,0.26072131076208716,0.16418677566461476,0.07541869012690379,0.06575959510561424,0.05417338930563664,0.01180134299182744,0.06880685884608007,0.05352550383879047,0.02381995914380927,0.2689903608882438,0.15893851624736066,0.1455616363348614,0.1419860199281694,0.08689894002399975,0.06723080675233849,0.06793846031631659,0.01779309041050682,0.01513409285714553,NA,0,0,0,0,0,0,0,0.2399098842316043,0,0,0.00740639852364788,0,0,0,0,0,1.3322676295501878e-15,0,0.00203978402076931,0.5227270634126131
dd_int,0.4058704589307128,NA,0.37128348552495283,0.1641867756646148,0.2352981072090519,0.10469120796689856,0.04330280055611284,0.0519119990748581,0.01368217331162036,0.05822710705105971,0.06181110881930608,0.0239326924742193,0.20957897171123763,0.2097699435046319,0.16470446569993613,0.11383111368620805,0.07969374987324611,0.05852545748263194,0.05130474092891127,0.02301398027086847,-0.00391575185745064,0,NA,0,0,0,0,0,0,0.05593458121457684,0,0,1.783219315634188e-4,0,0,0,0,0,0,0,1.989279740932659e-8,0.8197776345081604
dd_thd,0.32040282765301953,0.37128348552495283,NA,0.0754186901269038,0.10469120796689856,0.09461823338004532,0.00127702890780523,-0.00468744059050263,0.02317559623607773,0.00250889250507893,-0.00517903168240335,0.01107236027415925,0.1337367359529266,0.1161580977053471,0.181290985358072,0.03008510172110685,0.02081537984326219,0.02490993277093411,0.04279456344306545,0.03163035425537433,0.06863305537372649,0,0,NA,0,0,0,0.8960456118165518,0.5068515689202435,0.1063191734798148,0.7984768133827012,0.4029439097784815,0.3915023496634682,0,0,0,4.753550801790407e-4,4.685726825324199e-4,0.04466719081721004,3.9443301735886394e-8,1.0200559279449628e-4,0.0233234022448292
dm_ext,0.26072131076208716,0.1641867756646148,0.0754186901269038,NA,0.4058704589307128,0.32040282765301953,0.08709715196625507,0.06259534351116025,0.0312300170983614,0.0956870947741992,0.06838619495278606,0.02642979272805964,0.26899036088824374,0.15893851624736063,0.14556163633486136,0.16230382501865556,0.09403357903898985,0.08138537008672511,0.08388439117664559,0.03225271184810893,0.01255094552261261,0,0,0,NA,0,0,0,0,0.00162299615964567,0,0,0.00319374929175486,0,0,0,0,0,0,0,1.778447766831448e-8,0.5933341380948791
dm_int,0.16418677566461476,0.2352981072090519,0.10469120796689856,0.4058704589307128,NA,0.37128348552495283,0.05966911437802941,0.05668493931016266,0.01085912789929843,0.06678810736513238,0.06911825055020837,0.00947945414864955,0.20957897171123763,0.2097699435046319,0.16470446569993613,0.12022853944233482,0.0920094075740486,0.05829608217530778,0.05702603809704369,0.02147349929968614,0.02602048739260937,0,0,0,0,NA,0,0,0,0.07907223577469069,0,0,0.08846624085227428,0,0,0,0,0,0,0,9.382774557309403e-10,0.07018638958823864
dm_thd,0.07541869012690379,0.10469120796689856,0.09461823338004532,0.32040282765301953,0.37128348552495283,NA,0.01136325165575776,0.0215146681639497,0.00671006601234652,0.02731502639816491,0.01132018361992186,-0.00458438944616554,0.1337367359529266,0.11615809770534707,0.18129098535807195,0.05273425469829854,0.03632060480038522,0.04041200612772507,0.04174102013929386,0.02954593947576847,0.07067981199252593,0,0,0,0,0,NA,0.19218791746453337,6.409089536913992e-4,0.6076463026868095,0.00163479127673005,0.0427299362971294,0.6994468406404195,0,0,0,4.924061158817494e-12,1.6967316440741342e-11,2.3446728914966464e-4,2.541250543330875e-9,4.873406858685314e-5,0.00808683189217251
md_ext,0.06575959510561424,0.04330280055611284,0.00127702890780523,0.08709715196625507,0.05966911437802941,0.01136325165575776,NA,0.4058704589307128,0.32040282765301953,0.26072131076208716,0.16418677566461476,0.0754186901269038,0.16216575646871148,0.10982888941053125,0.0847830320710101,0.2689903608882438,0.1589385162473607,0.1455616363348614,0.08666064552110307,0.02991354871883254,0.00809121442865333,0,0,0.8960456118165518,0,0,0.19218791746453337,NA,0,0,0,0,0,0,0,0,0,0,0,0,3.178213781040995e-8,0.721190590358253
md_int,0.05417338930563664,0.0519119990748581,-0.00468744059050263,0.06259534351116025,0.05668493931016266,0.0215146681639497,0.4058704589307128,NA,0.3712834855249529,0.1641867756646148,0.2352981072090519,0.10469120796689854,0.1228601176701991,0.10708120409682514,0.07462125377026127,0.20957897171123768,0.20976994350463196,0.16470446569993613,0.0644212975012232,0.03011187389410919,0.02339218549023343,0,0,0.5068515689202435,0,0,6.409089536913992e-4,0,NA,0,0,0,0,0,0,0,0,0,0,0,1.754152378907747e-14,0.1506636086220241
md_thd,0.01180134299182744,0.01368217331162036,0.02317559623607773,0.0312300170983614,0.01085912789929843,0.00671006601234652,0.32040282765301953,0.3712834855249529,NA,0.0754186901269038,0.10469120796689856,0.09461823338004532,0.05018120821106707,0.04767261628170453,0.04424103440255983,0.1337367359529266,0.11615809770534712,0.181290985358072,0.04925397751805792,0.05403153161801643,0.09866674125819384,0.2399098842316043,0.05593458121457684,0.1063191734798148,0.00162299615964567,0.07907223577469069,0.6076463026868095,0,0,NA,0,0,0,3.426794403793565e-10,6.661338147750939e-16,7.700797150318461e-4,0,0,0,9.88504833543402e-11,5.049960449809987e-12,4.513133694830085e-4
mm_ext,0.06880685884608007,0.05822710705105971,0.00250889250507893,0.0956870947741992,0.06678810736513238,0.02731502639816491,0.26072131076208716,0.1641867756646148,0.0754186901269038,NA,0.4058704589307128,0.32040282765301953,0.16077128823913017,0.10655000315840052,0.09068904440142088,0.26899036088824385,0.1589385162473607,0.1455616363348614,0.10802464268062484,0.05027576577664782,0.05972057287679941,0,0,0.7984768133827012,0,0,0.00163479127673005,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.0040225374245626
mm_int,0.05352550383879047,0.06181110881930608,-0.00517903168240335,0.06838619495278606,0.06911825055020837,0.01132018361992186,0.16418677566461476,0.2352981072090519,0.10469120796689856,0.4058704589307128,NA,0.37128348552495283,0.13964817235363866,0.11611692807101603,0.07396489507656588,0.20957897171123768,0.20976994350463193,0.16470446569993613,0.0861772897067709,0.04409575046344428,0.01879550184767934,0,0,0.4029439097784815,0,0,0.0427299362971294,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0.1829532197254231
mm_thd,0.02381995914380927,0.0239326924742193,0.01107236027415925,0.02642979272805964,0.00947945414864955,-0.00458438944616554,0.0754186901269038,0.10469120796689854,0.09461823338004532,0.32040282765301953,0.37128348552495283,NA,0.07598761356095912,0.06342027389054497,0.06860432462732707,0.1337367359529266,0.1161580977053471,0.181290985358072,0.05143166816680528,0.05179473246431914,0.06102740475065509,0.00740639852364788,1.783219315634188e-4,0.3915023496634682,0.00319374929175486,0.08846624085227428,0.6994468406404195,0,0,0,0,0,NA,0,0,1.5811534304077666e-9,0,0,0,3.907985046680551e-14,1.1746159600534156e-13,0.02099502467078839
d_ext,0.2689903608882438,0.20957897171123763,0.1337367359529266,0.26899036088824374,0.20957897171123763,0.1337367359529266,0.16216575646871148,0.1228601176701991,0.05018120821106707,0.16077128823913017,0.13964817235363866,0.07598761356095912,NA,0.4752351851309615,0.503600751910689,0.43000178274333833,0.2719947385415734,0.24546593163681035,0.2689903608882438,0.15893851624736066,0.14556163633486138,0,0,0,0,0,0,0,0,3.426794403793565e-10,0,0,0,NA,0,0,0,0,0,0,0,0
d_int,0.15893851624736066,0.2097699435046319,0.1161580977053471,0.15893851624736063,0.2097699435046319,0.11615809770534707,0.10982888941053125,0.10708120409682514,0.04767261628170453,0.10655000315840052,0.11611692807101603,0.06342027389054497,0.4752351851309615,NA,0.530547393198551,0.2719947385415734,0.32085724085395023,0.226604422554006,0.20957897171123763,0.2097699435046319,0.16470446569993613,0,0,0,0,0,0,0,0,6.661338147750939e-16,0,0,0,0,NA,0,0,0,0,0,0,0
d_thd,0.1455616363348614,0.16470446569993613,0.181290985358072,0.14556163633486136,0.16470446569993613,0.18129098535807195,0.0847830320710101,0.07462125377026127,0.04424103440255983,0.09068904440142088,0.07396489507656588,0.06860432462732707,0.503600751910689,0.530547393198551,NA,0.24546593163681035,0.226604422554006,0.18557191208658969,0.1337367359529266,0.1161580977053471,0.181290985358072,0,0,0,0,0,0,0,0,7.700797150318461e-4,0,0,1.5811534304077666e-9,0,0,NA,0,0,0,0,0,0
m_ext,0.1419860199281694,0.11383111368620805,0.03008510172110685,0.16230382501865556,0.12022853944233482,0.05273425469829854,0.2689903608882438,0.20957897171123768,0.1337367359529266,0.26899036088824385,0.20957897171123768,0.1337367359529266,0.43000178274333833,0.2719947385415734,0.24546593163681035,NA,0.4752351851309615,0.503600751910689,0.2689903608882438,0.15893851624736066,0.1455616363348614,0,0,4.753550801790407e-4,0,0,4.924061158817494e-12,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
m_int,0.08689894002399975,0.07969374987324611,0.02081537984326219,0.09403357903898985,0.0920094075740486,0.03632060480038522,0.1589385162473607,0.20976994350463196,0.11615809770534712,0.1589385162473607,0.20976994350463193,0.1161580977053471,0.2719947385415734,0.32085724085395023,0.226604422554006,0.4752351851309615,NA,0.530547393198551,0.20957897171123763,0.2097699435046319,0.16470446569993613,0,0,4.685726825324199e-4,0,0,1.6967316440741342e-11,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
m_thd,0.06723080675233849,0.05852545748263194,0.02490993277093411,0.08138537008672511,0.05829608217530778,0.04041200612772507,0.1455616363348614,0.16470446569993613,0.181290985358072,0.1455616363348614,0.16470446569993613,0.181290985358072,0.24546593163681035,0.226604422554006,0.18557191208658969,0.503600751910689,0.530547393198551,NA,0.1337367359529266,0.11615809770534707,0.181290985358072,1.3322676295501878e-15,0,0.04466719081721004,0,0,2.3446728914966464e-4,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
c_ext,0.06793846031631659,0.05130474092891127,0.04279456344306545,0.08388439117664559,0.05702603809704369,0.04174102013929386,0.08666064552110307,0.0644212975012232,0.04925397751805792,0.10802464268062484,0.0861772897067709,0.05143166816680528,0.2689903608882438,0.20957897171123763,0.1337367359529266,0.2689903608882438,0.20957897171123763,0.1337367359529266,NA,0.3497617520170889,0.371102441364577,0,0,3.9443301735886394e-8,0,0,2.541250543330875e-9,0,0,9.88504833543402e-11,0,0,3.907985046680551e-14,0,0,0,0,0,0,NA,0,0
c_int,0.01779309041050682,0.02301398027086847,0.03163035425537433,0.03225271184810893,0.02147349929968614,0.02954593947576847,0.02991354871883254,0.03011187389410919,0.05403153161801643,0.05027576577664782,0.04409575046344428,0.05179473246431914,0.15893851624736066,0.2097699435046319,0.1161580977053471,0.15893851624736066,0.2097699435046319,0.11615809770534707,0.3497617520170889,NA,0.4723377476784989,0.00203978402076931,1.989279740932659e-8,1.0200559279449628e-4,1.778447766831448e-8,9.382774557309403e-10,4.873406858685314e-5,3.178213781040995e-8,1.754152378907747e-14,5.049960449809987e-12,0,0,1.1746159600534156e-13,0,0,0,0,0,0,0,NA,0
c_thd,0.01513409285714553,-0.00391575185745064,0.06863305537372649,0.01255094552261261,0.02602048739260937,0.07067981199252593,0.00809121442865333,0.02339218549023343,0.09866674125819384,0.05972057287679941,0.01879550184767934,0.06102740475065509,0.14556163633486138,0.16470446569993613,0.181290985358072,0.1455616363348614,0.16470446569993613,0.181290985358072,0.371102441364577,0.4723377476784989,NA,0.5227270634126131,0.8197776345081604,0.0233234022448292,0.5933341380948791,0.07018638958823864,0.00808683189217251,0.721190590358253,0.1506636086220241,4.513133694830085e-4,0.0040225374245626,0.1829532197254231,0.02099502467078839,0,0,0,0,0,0,0,0,NA
