lhs,dd_ext,dd_int,dd_thd,dm_ext,dm_int,dm_thd,md_ext,md_int,md_thd,mm_ext,mm_int,mm_thd,d_ext,d_int,d_thd,m_ext,m_int,m_thd,c_ext,c_int,c_thd
dd_ext,NA,0.40219109928267055,0.31930066562865683,0.2622623905814171,0.16084593108543557,0.07540380192716986,0.0551413778168095,0.05066934552036195,0.0108883106624833,0.06953039162446512,0.04967045474140204,0.01934722153681087,0.26714295703951224,0.1578273211306494,0.1454367290272127,0.13929703349392225,0.08344237029713283,0.06699760426563488,0.06594700349588109,0.02566643403383473,0.02582124609350128
dd_int,0.40219109928267055,NA,0.3749229180017196,0.16084593108543557,0.23406482187176417,0.10774019688053336,0.04109825698128264,0.0504532831623577,0.01149900439152196,0.05529206133354331,0.05599706063078338,0.02521679552100567,0.20332141383545613,0.20545323252892608,0.16297156342830327,0.1083367980799337,0.0771344349039849,0.05706742276516087,0.04891580113249216,0.02423161299471361,0.00441305643845142
dd_thd,0.31930066562865683,0.3749229180017196,NA,0.07540380192716986,0.10774019688053336,0.09420629584672668,-0.00902892718392234,9.784250159008412e-4,0.02566743617428957,0.00332893913097154,-9.348748695224627e-4,0.01072583047298411,0.13215274013486247,0.11450616803117925,0.18390674575756288,0.03496976594672333,0.02332214894311553,0.02592261539809422,0.04407837673923624,0.02872767484042604,0.0870353791746242
dm_ext,0.2622623905814171,0.16084593108543557,0.07540380192716986,NA,0.4021910992826706,0.31930066562865683,0.08928945686150482,0.05967628641128664,0.03348993716538603,0.09161900127606376,0.06225436933507744,0.02384045682767135,0.2671429570395122,0.15782732113064937,0.14543672902721266,0.16223153038495755,0.09220716526652484,0.08278407101490529,0.0773555995412841,0.03751450395294732,0.02322480150859879
dm_int,0.16084593108543557,0.23406482187176417,0.10774019688053336,0.4021910992826706,NA,0.3749229180017195,0.05627830531512104,0.05083041027195781,0.01185176683737274,0.06382849981312828,0.06318713939981768,0.01431032310940305,0.2033214138354561,0.20545323252892603,0.16297156342830324,0.11543044749989326,0.08955924407102127,0.05118335011013476,0.05412329928524116,0.026090715554800942,0.02989401959880026
dm_thd,0.07540380192716986,0.10774019688053336,0.09420629584672668,0.31930066562865683,0.3749229180017195,NA,0.00619429661288858,0.01847775094637332,0.01066854551019488,0.02897907505128099,0.01080362660360328,-9.239636058594867e-5,0.13215274013486245,0.11450616803117922,0.18390674575756283,0.05597665396239562,0.03258413269302399,0.04005016572516831,0.0403834331852249,0.02534171266035242,0.06663478655124919
md_ext,0.0551413778168095,0.04109825698128264,-0.00902892718392234,0.08928945686150482,0.05627830531512104,0.00619429661288858,NA,0.4021910992826706,0.31930066562865683,0.2622623905814171,0.16084593108543557,0.07540380192716986,0.15583503693032502,0.1083937749099666,0.0814534246962826,0.26714295703951224,0.15782732113064943,0.14543672902721266,0.08414777083019276,0.03617904383650658,0.01450770472008508
md_int,0.05066934552036195,0.0504532831623577,9.784250159008412e-4,0.05967628641128664,0.05083041027195781,0.01847775094637332,0.4021910992826706,NA,0.3749229180017196,0.16084593108543557,0.23406482187176417,0.10774019688053334,0.11706873238348428,0.10658915744778184,0.07165189231175247,0.20332141383545616,0.20545323252892608,0.16297156342830327,0.06504490621935784,0.03914364681981706,0.03336949345061316
md_thd,0.0108883106624833,0.01149900439152196,0.02566743617428957,0.03348993716538603,0.01185176683737274,0.01066854551019488,0.31930066562865683,0.3749229180017196,NA,0.07540380192716986,0.10774019688053336,0.09420629584672668,0.04776763872047017,0.0508950174571175,0.05096801055861193,0.1321527401348625,0.11450616803117926,0.18390674575756288,0.0409205635350245,0.04970550812160101,0.0877500807001052
mm_ext,0.06953039162446512,0.05529206133354331,0.00332893913097154,0.09161900127606376,0.06382849981312828,0.02897907505128099,0.2622623905814171,0.16084593108543557,0.07540380192716986,NA,0.4021910992826706,0.31930066562865683,0.16333522991807756,0.10312175083643275,0.08596649203622207,0.2671429570395123,0.1578273211306494,0.14543672902721272,0.1066998456188982,0.05360351383271204,0.06585221205543418
mm_int,0.04967045474140204,0.05599706063078338,-9.348748695224627e-4,0.06225436933507744,0.06318713939981768,0.01080362660360328,0.16084593108543557,0.23406482187176417,0.10774019688053336,0.4021910992826706,NA,0.3749229180017195,0.13301344716156305,0.11357308276593192,0.0631582082400322,0.20332141383545616,0.20545323252892608,0.16297156342830327,0.07869736716453007,0.04569508783906529,0.02636387930568595
mm_thd,0.01934722153681087,0.02521679552100567,0.01072583047298411,0.02384045682767135,0.01431032310940305,-9.239636058594867e-5,0.07540380192716986,0.10774019688053334,0.09420629584672668,0.31930066562865683,0.3749229180017195,NA,0.07378416771156786,0.06197862076284948,0.07008595988926683,0.13215274013486247,0.11450616803117925,0.18390674575756288,0.05030568592544787,0.05078341334449435,0.05663053798071685
d_ext,0.26714295703951224,0.20332141383545613,0.13215274013486247,0.2671429570395122,0.2033214138354561,0.13215274013486245,0.15583503693032502,0.11706873238348428,0.04776763872047017,0.16333522991807756,0.13301344716156305,0.07378416771156786,NA,0.4692187605057557,0.4984268880271756,0.4297805924601688,0.2724877837496472,0.244988825631867,0.26714295703951224,0.1578273211306494,0.14543672902721266
d_int,0.1578273211306494,0.20545323252892608,0.11450616803117925,0.15782732113064937,0.20545323252892603,0.11450616803117922,0.1083937749099666,0.10658915744778184,0.0508950174571175,0.10312175083643275,0.11357308276593192,0.06197862076284948,0.4692187605057557,NA,0.5299586735967989,0.2724877837496472,0.32558844694230094,0.2305314965521512,0.20332141383545613,0.20545323252892608,0.16297156342830327
d_thd,0.1454367290272127,0.16297156342830327,0.18390674575756288,0.14543672902721266,0.16297156342830324,0.18390674575756283,0.0814534246962826,0.07165189231175247,0.05096801055861193,0.08596649203622207,0.0631582082400322,0.07008595988926683,0.4984268880271756,0.5299586735967989,NA,0.244988825631867,0.2305314965521512,0.1834301817016223,0.13215274013486245,0.11450616803117925,0.18390674575756283
m_ext,0.13929703349392225,0.1083367980799337,0.03496976594672333,0.16223153038495755,0.11543044749989326,0.05597665396239562,0.26714295703951224,0.20332141383545616,0.1321527401348625,0.2671429570395123,0.20332141383545616,0.13215274013486247,0.4297805924601688,0.2724877837496472,0.244988825631867,NA,0.4692187605057557,0.4984268880271756,0.26714295703951224,0.1578273211306494,0.1454367290272127
m_int,0.08344237029713283,0.0771344349039849,0.02332214894311553,0.09220716526652484,0.08955924407102127,0.03258413269302399,0.15782732113064943,0.20545323252892608,0.11450616803117926,0.1578273211306494,0.20545323252892608,0.11450616803117925,0.2724877837496472,0.32558844694230094,0.2305314965521512,0.4692187605057557,NA,0.5299586735967989,0.20332141383545613,0.20545323252892608,0.1629715634283033
m_thd,0.06699760426563488,0.05706742276516087,0.02592261539809422,0.08278407101490529,0.05118335011013476,0.04005016572516831,0.14543672902721266,0.16297156342830327,0.18390674575756288,0.14543672902721272,0.16297156342830327,0.18390674575756288,0.244988825631867,0.2305314965521512,0.1834301817016223,0.4984268880271756,0.5299586735967989,NA,0.13215274013486245,0.11450616803117925,0.18390674575756288
c_ext,0.06594700349588109,0.04891580113249216,0.04407837673923624,0.0773555995412841,0.05412329928524116,0.0403834331852249,0.08414777083019276,0.06504490621935784,0.0409205635350245,0.1066998456188982,0.07869736716453007,0.05030568592544787,0.26714295703951224,0.20332141383545613,0.13215274013486245,0.26714295703951224,0.20332141383545613,0.13215274013486245,NA,0.35053047295801143,0.378412234835656
c_int,0.02566643403383473,0.02423161299471361,0.02872767484042604,0.03751450395294732,0.026090715554800942,0.02534171266035242,0.03617904383650658,0.03914364681981706,0.04970550812160101,0.05360351383271204,0.04569508783906529,0.05078341334449435,0.1578273211306494,0.20545323252892608,0.11450616803117925,0.1578273211306494,0.20545323252892608,0.11450616803117925,0.35053047295801143,NA,0.4684542699007967
c_thd,0.02582124609350128,0.00441305643845142,0.0870353791746242,0.02322480150859879,0.02989401959880026,0.06663478655124919,0.01450770472008508,0.03336949345061316,0.0877500807001052,0.06585221205543418,0.02636387930568595,0.05663053798071685,0.14543672902721266,0.16297156342830327,0.18390674575756283,0.1454367290272127,0.1629715634283033,0.18390674575756288,0.378412234835656,0.4684542699007967,NA
